pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
4rn0_B_rec,10,10,0.5571782228957883,0.19264056798301585,3.203985291212736,0.9422651417987851,0.2827709833821566,1.1717560100033242,180.0,0.006756756756756757,0.0,3.9928694946392462,203.14000000000001,1.776393000000001,2.9,2.1,3.0
4rv4_A_rec,10,10,0.31301347577393074,0.12405519662912186,5.344433939262862,0.8676791884765156,0.05789115909988977,0.5719849325223978,150.0,0.0364963503649635,0.1,2.727848156881317,401.4427000000001,-1.6936799999999983,8.6,5.5,5.1
4tos_A_rec,10,10,0.49078071527387906,0.10720551881772354,3.828816491524514,0.8937233902750269,0.04280101637475115,0.47231323363135647,75.0,0.03234501347708895,0.0,2.0723814364169626,475.57710000000014,3.010836000000002,6.3,2.4,5.8
4tqr_A_rec,10,10,0.48496581426009183,0.1490621425122009,3.7160777748432006,0.9244722131334011,0.041813591600728096,0.45703212418249933,10.0,0.012195121951219513,0.0,4.386155216120545,233.4019,-0.35401799999999894,4.7,3.4,1.9
4u5s_A_rec,10,10,0.5834980066609396,0.09791734460686732,3.825666207264496,0.9132074503749659,0.05799479729703796,0.5408859393717219,0.0,0.019736842105263157,0.0,4.748009069953917,210.2956,-0.2907299999999996,4.0,2.2,2.3
4xli_B_rec,10,10,0.6637215800131947,0.15484391060861963,2.844238454480425,0.8842184112232506,0.03221158772258623,0.43111265596601656,5.0,0.007194244604316547,0.0,2.5367303137613293,338.8280000000001,3.314420000000001,4.7,1.3,3.6
4yhj_A_rec,10,10,0.6039171096848903,0.17060848009454113,3.463156796292563,0.8762300640880888,0.02719935958034363,0.38346383605029216,0.0,0.02973977695167286,0.0,1.2195410485969482,358.2365000000001,2.1722270000000004,4.5,3.2,3.7
4z2g_A_rec,10,10,0.26480458721959893,0.2042324581272723,5.3335936932619905,0.8901968067401116,0.05967706827080596,0.5757317061931335,20.0,0.0425,0.1,2.533136887831302,543.0576000000002,-1.2842019999999947,11.3,7.0,8.4
4zfa_A_rec,10,10,0.5410517472906381,0.2340078590412815,3.3276807479361366,0.9137220459425549,0.02090199602612493,0.3518826916587939,130.0,0.015625,0.0,1.512839367375388,405.84250000000003,5.200236000000004,4.2,1.1,4.9
5aeh_A_rec,10,10,0.6488084370886174,0.19208466665438598,3.5448007719216768,0.9078521502790647,0.10413889702397959,0.7233973592309277,155.0,0.02877697841726619,0.0,2.1499913440062897,356.6637000000001,3.503714000000002,3.8,1.4,3.0
5b08_A_rec,10,10,0.6468579059684654,0.15806213674257702,3.857502157166267,0.9149417910400699,0.20642329186920647,1.021482037604534,490.0,0.024305555555555556,0.0,3.631994626423475,363.77940000000007,3.7511670000000024,3.8,1.7,2.3
5bur_A_rec,10,10,0.32424168385159946,0.13902666892914559,4.825531165493381,0.7520786147108176,0.019515356471993674,0.3374891246512003,30.0,0.06440677966101695,0.0,1.7373167970036782,431.42420000000004,-1.255331,10.0,6.1,5.6
5d7n_D_rec,10,10,0.6335549318006656,0.12767852122088416,4.175722761066369,0.9118908240287154,0.024455308878136114,0.3697314961291356,15.0,0.02962962962962963,0.0,2.8131684313167264,352.1387000000001,1.3793280000000003,5.8,2.9,5.6
5i0b_A_rec,10,10,0.6049586053799241,0.17077265771825034,3.7715484103064845,0.9067921761602822,0.09452475638903762,0.730500757950822,20.0,0.011450381679389313,0.0,2.3771740419727605,325.3965,1.8466100000000019,6.2,2.3,3.6
5l1v_A_rec,10,10,0.6220058732494964,0.18536335756502545,4.241158632269479,0.9251460731272726,0.02864442391398558,0.40516640345983934,380.0,0.02527075812274368,0.0,0.631242065453337,351.34190000000007,3.6634960000000034,3.8,1.5,3.2
5liu_X_rec,10,10,0.6630103651505673,0.16454611683509046,2.7748261377314636,0.9209205338807276,0.07874553712349606,0.64213325363461,35.0,0.013333333333333334,0.0,2.4191140207225805,275.8695000000001,2.8213500000000016,3.6,1.4,2.8
5mgl_A_rec,10,10,0.7200252649386774,0.07803189777304231,3.049078433319585,0.9103414078572283,0.11474930996832167,0.7768118270681299,5.0,0.023809523809523808,0.0,4.249332669149946,219.97750000000002,1.4382200000000005,3.8,1.4,2.1
5mma_A_rec,10,10,0.649791303774921,0.13541978486960524,3.1691603903226024,0.9239093828802826,0.06894323189628275,0.6201100416117836,535.0,0.02702702702702703,0.0,3.739595602961208,248.94649999999996,2.166017000000001,2.8,2.3,3.2
5ngz_A_rec,10,10,0.630698080359288,0.1426246061098263,3.220631579366846,0.9187390133388067,0.6231422690904375,1.6864863572938766,0.0,0.00980392156862745,0.0,5.459404430210345,256.1489,2.238766000000001,2.8,1.1,2.6
5q0k_A_rec,10,10,0.47765321090529145,0.12904855723605552,3.3156135953378345,0.8955972206645927,0.034399062347856786,0.4130672555564771,155.0,0.017699115044247787,0.0,0.4208248484567515,411.8569000000001,4.839088000000004,4.3,1.2,4.0
5tjn_A_rec,10,10,0.6612730343774358,0.13940738623356205,3.3277630279694805,0.9176204182382758,0.06144482131243619,0.573811868720386,55.0,0.03592814371257485,0.0,4.909396763811607,233.5039,1.1649970000000005,3.5,2.0,3.8
5w2g_A_rec,10,10,0.4579599664326369,0.21203561724616182,4.560640048011111,0.8717190785661897,0.06775195057427277,0.5900746623103786,5.0,0.026022304832713755,0.0,3.463279231944019,372.76230000000015,-0.4382179999999991,8.3,4.3,5.0
