pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
3dzh_A_rec,41,41,0.33547877599663317,0.16488024742069085,4.737096787861686,0.8625359268596051,0.3530699116073344,0.8008710941425808,0.0,0.07540263543191801,0.0,0.0,477.39392682926854,0.7917158536585376,8.341463414634147,5.121951219512195,6.317073170731708
3ej8_A_rec,47,47,0.4812208786704457,0.10703039571051125,3.569152259989787,0.9161030012798835,30.016614943037087,3.094368743381279,0.0,0.011131725417439703,0.0,0.0,155.1458085106383,0.1013648936170214,2.9148936170212765,2.148936170212766,0.723404255319149
3g51_A_rec,39,39,0.43401247818684197,0.1579969772818408,3.9105140335843154,0.7159392868223396,0.017154169006495718,0.29853558410340814,0.0,0.0859453993933266,0.0,0.0,365.21,-0.3037702564102567,8.179487179487179,4.6923076923076925,4.9743589743589745
3gs6_A_rec,44,44,0.29450281459226435,0.10103311079808368,4.5737612721818275,0.7744687360274558,1.5424624084965022,1.000698872783589,0.0,0.06096131301289566,0.045454545454545456,0.0,297.0266363636364,-2.639472727272726,7.204545454545454,5.909090909090909,3.3636363636363638
3hy9_B_rec,47,47,0.6582448390504648,0.16955707528666106,2.8544132896418732,0.8427539937600358,0.048084794540031305,0.4986695822308036,0.0,0.036968576709796676,0.0,0.0,315.31395744680856,1.8530642553191499,4.0638297872340425,2.297872340425532,5.297872340425532
3jyh_A_rec,42,42,0.6150465444820485,0.13054810254897045,4.582324879110532,0.8891110322295699,283.47161041226724,13.132434702863733,0.0,0.013630731102850062,0.047619047619047616,0.0,249.54673809523814,0.5485297619047623,3.8095238095238093,2.4761904761904763,2.5476190476190474
3kc1_A_rec,45,45,0.5559163245468617,0.17836974071091777,3.8954123118979744,0.8521438316352389,16.502014459853775,3.4770879739695264,0.0,0.053663570691434466,0.0,0.0,307.0779111111111,0.9740646666666668,4.844444444444444,3.2666666666666666,3.911111111111111
3l3n_A_rec,45,45,0.5940778423017498,0.1580313378704731,3.6688458753185733,0.889738651051899,11.277021416955307,2.944819387586617,0.0,0.012328767123287671,0.0,0.0,216.1908,0.9256786666666672,3.1333333333333333,2.2,2.311111111111111
3li4_A_rec,48,48,0.5986420454204032,0.15785100224122833,3.8419679726694866,0.8466707025719051,0.04102483940757299,0.44678054831304786,0.0,0.008919722497522299,0.0,0.0,282.4201666666667,0.46823958333333354,4.6875,3.5625,4.083333333333333
3nfb_A_rec,48,48,0.611931636321453,0.17490690943470705,3.2851686406655034,0.8674151519113231,0.09737536746923932,0.6941134493168885,0.0,0.025,0.0,0.0,308.087875,1.764305833333334,4.395833333333333,3.0416666666666665,5.333333333333333
3o96_A_rec,47,47,0.4008363445546296,0.10981961331129314,3.0293721953106307,0.8507265038879795,0.07123332512039222,0.5799420349840736,0.0,0.01762364980102331,0.0,0.0,456.6550638297874,5.268747234042557,5.319148936170213,1.4680851063829787,5.808510638297872
3pdh_A_rec,45,45,0.6287758868329517,0.1469797053404296,2.928920497865762,0.8734767452454328,0.03998772921178736,0.43148689174490046,0.0,0.012732615083251714,0.0,0.0,286.33262222222226,2.1794093333333344,4.0,2.1333333333333333,2.5555555555555554
3pnm_A_rec,40,40,0.4230427427952069,0.10309569564586878,3.5611471468465283,0.8807571886340653,30.981813799724993,3.4904119729074794,0.0,0.018329938900203666,0.0,0.0,176.5903,-0.6235624999999997,3.775,2.975,2.225
3tym_A_rec,45,45,0.5796868468127534,0.14907027672634368,3.3283521759009562,0.876264954750617,4.9230182204995625,1.7873381734219898,0.0,0.04041204437400951,0.022222222222222223,0.0,380.9490222222224,2.3608644444444455,5.2,2.488888888888889,6.644444444444445
3u5y_B_rec,47,47,0.5157128881734324,0.1939955599694534,4.927016255029415,0.862824696906613,0.04951746270515759,0.47288618919390296,0.0,0.007880220646178092,0.0,0.0,355.2522127659576,0.295363404255321,5.9787234042553195,4.425531914893617,3.021276595744681
3u9f_C_rec,44,44,0.7334826529818336,0.1198094471323125,3.5674598343898394,0.8955211997403438,0.05973033849350951,0.5458109269920576,0.0,0.021379980563654033,0.0,0.0,296.6506363636364,3.151279772727275,3.1818181818181817,1.2045454545454546,2.272727272727273
3v4t_A_rec,47,47,0.3046367786773157,0.15427805247644516,4.897225711443675,0.858913833828076,130.66790780528353,6.224882104793325,0.0,0.09116541353383459,0.0,0.0,355.28838297872346,-1.9941821276595737,7.74468085106383,5.957446808510638,6.0
3w83_B_rec,45,45,0.45737842598128914,0.15998534655317592,3.6359848305136167,0.8666297979815627,0.034528071229136044,0.42675377906090567,0.0,0.038011695906432746,0.0,0.0,222.48451111111115,-0.6520768888888883,4.555555555555555,3.533333333333333,2.488888888888889
4aaw_A_rec,48,48,0.6238128223791736,0.10552187972266795,2.431063937257191,0.8839839844674475,0.0637958101004382,0.5404693590537859,0.0,0.0049261083743842365,0.0,0.0,170.3737708333333,1.4802760416666672,2.2291666666666665,1.3333333333333333,2.0833333333333335
4aua_A_rec,46,46,0.744399875192126,0.10714218629425186,2.258145965450141,0.8390786791834772,0.048628423241869716,0.4799932840287594,0.0,0.00966702470461869,0.0,0.0,252.09460869565223,2.288669782608696,3.3260869565217392,1.6304347826086956,2.847826086956522
4azf_A_rec,43,43,0.6441664222090484,0.1726860397185779,3.71320671210717,0.8823494154611699,18.1206786747634,2.88763636166106,0.0,0.04048964218455744,0.0,0.0,325.69481395348845,1.8126690697674426,5.27906976744186,2.4186046511627906,2.744186046511628
4bel_A_rec,44,44,0.33036740966506256,0.1201119270093579,4.2160874541175835,0.8438872270431825,23.586334984919322,3.0666036536910783,0.0,0.02644836272040302,0.0,0.0,492.8047272727275,2.5369709090909116,5.704545454545454,4.068181818181818,10.886363636363637
4d7o_A_rec,42,42,0.6071598443826951,0.17918389306665117,3.118831053974229,0.8811839463904927,0.0975649300105693,0.6619975461622903,0.0,0.02787769784172662,0.0,0.0,354.46714285714296,2.3409385714285724,4.738095238095238,2.4285714285714284,6.190476190476191
4f1m_A_rec,35,35,0.28768805316564927,0.09204997744487976,4.634572401290193,0.644577787180344,0.05764010001210898,0.4955279852244918,0.0,0.13725490196078433,0.0,0.0,447.22734285714296,-0.6459177142857145,10.685714285714285,5.542857142857143,7.8
4g3d_B_rec,42,42,0.6311481253294048,0.17487976213422177,3.5692320084266465,0.8769222860556295,0.05789004754234044,0.5395125527449758,0.0,0.011579818031430935,0.0,0.0,355.62961904761914,2.1141080952380964,5.523809523809524,2.1666666666666665,3.0238095238095237
4gvd_A_rec,46,46,0.6084670886989505,0.15177986931784962,2.8473691312046667,0.8839099716043315,0.035533759144984585,0.41879745575661514,0.0,0.021534320323014805,0.0,0.0,216.44339130434784,1.3934502173913048,2.9782608695652173,1.934782608695652,1.8695652173913044
4h3c_A_rec,46,46,0.6518475973221858,0.11553359017210997,2.53668825022962,0.8592982707034054,0.04830762166456456,0.4872547319536839,0.0,0.04963805584281282,0.0,0.0,281.45810869565213,3.577030000000002,2.4347826086956523,1.065217391304348,2.1739130434782608
4iiy_A_rec,32,32,0.38312556703357087,0.19631432707675894,4.5254229185570285,0.8468570025276404,38.34093639411271,4.306344847259177,0.0,0.06845238095238096,0.0,0.0,438.16984375000015,0.2411531250000007,8.5,4.75,5.34375
4iwq_A_rec,46,46,0.7632616747155174,0.12844130012847252,3.352463119768406,0.8872404741834847,0.11619770388071175,0.7289762881031174,0.0,0.02220324508966695,0.0,0.0,321.62130434782614,2.3016391304347836,4.608695652173913,1.4130434782608696,2.891304347826087
4ja8_B_rec,39,39,0.39029809900755674,0.1410153796287603,4.084620416217527,0.8758407470789131,0.15154583196712013,0.8651907325111956,0.0,0.008130081300813009,0.0,0.0,459.0133589743593,5.69653538461539,4.0256410256410255,1.4615384615384615,8.64102564102564
4kcq_A_rec,40,40,0.6351924184420985,0.1674121570507467,3.0732540625108795,0.8760931542498515,0.10863297764524094,0.7111095388740512,0.0,0.014866204162537165,0.0,0.0,330.81280000000004,2.548308750000001,3.975,1.825,5.775
4keu_A_rec,45,45,0.6230073377845474,0.16081236271667684,2.317281467446805,0.8685167801754744,0.15051587730776428,0.8349951943043665,0.0,0.005980861244019139,0.0,0.0,242.2141333333333,3.6118586666666697,2.111111111111111,0.9777777777777777,4.4
4lfu_A_rec,42,42,0.6852865796722879,0.1310888857720786,3.472059592403454,0.9014054831748779,85.79975772180158,8.941612825493552,0.0,0.018619934282584884,0.0,0.0,264.92880952380955,3.090089047619049,2.5476190476190474,0.8333333333333334,1.6666666666666667
4m7t_A_rec,40,40,0.6649336383899513,0.16571877934649662,3.7649025236785905,0.887270626705525,0.08388155108215452,0.6335419171538067,0.0,0.02654867256637168,0.0,0.0,362.9264750000001,2.415650000000001,5.25,1.95,3.475
4p6p_A_rec,43,43,0.45953401904599206,0.1597221236462978,4.622475888564939,0.8638460065457498,0.060512089688169256,0.5350763846962473,0.0,0.05389908256880734,0.0,0.0,290.3801162790698,-0.47601116279069744,5.767441860465116,3.9767441860465116,3.302325581395349
4pxz_A_rec,44,44,0.45978325323610036,0.17435214168474622,3.7945040008016706,0.8720902812979063,0.056927659166034934,0.533855279404166,0.0,0.04843304843304843,0.0,0.0,440.97902272727293,2.265602272727274,5.7727272727272725,3.3863636363636362,6.2727272727272725
4q8b_B_rec,43,43,0.6990727918589765,0.13463944945579023,2.853702524764627,0.8683880222053179,44.90718580842258,4.0117416851928365,0.0,0.019230769230769232,0.0,0.0,250.70353488372095,1.6697337209302328,3.441860465116279,1.930232558139535,2.0697674418604652
4qlk_A_rec,37,37,0.3000254904652527,0.12886411971711462,4.505352306854451,0.8708745897113138,16.644549606780622,2.9140138548295624,0.0,0.032764505119453925,0.0,0.0,526.2051081081083,1.9352472972972994,8.513513513513514,4.8108108108108105,7.594594594594595
4rlu_A_rec,40,40,0.6333063586342742,0.14105363221186712,3.2924608417753722,0.8856990193414961,0.07860636458447932,0.6108496808377075,0.0,0.01990521327014218,0.0,0.0,333.2807,2.9702480000000016,4.55,2.125,3.85
4rn0_B_rec,48,48,0.5642799816265863,0.15206703440180636,2.546890303030491,0.857226533874561,2.4737608450297537,1.394369358255042,0.0,0.013582342954159592,0.0,0.0,176.27733333333333,1.086207291666667,2.4166666666666665,2.0208333333333335,3.75
4rv4_A_rec,39,39,0.3060788920518611,0.09537105843381549,4.573099110550147,0.7258965445144141,0.024691781336752386,0.35971465637942596,0.0,0.07961399276236429,0.0,0.0,334.1663333333334,-2.0419461538461534,7.384615384615385,5.615384615384615,5.102564102564102
4tos_A_rec,43,43,0.5038382746206067,0.12483965340834345,3.285000269138222,0.8549624163162801,0.11457217440527674,0.7303315139982095,0.0,0.029411764705882353,0.0,0.0,448.0492558139537,3.0205253488372112,5.627906976744186,2.7674418604651163,5.976744186046512
4tqr_A_rec,46,46,0.503135425192837,0.13448169234347607,3.2032498698284164,0.8697646155188945,0.049665644025446105,0.4984507506561845,0.0,0.02702702702702703,0.0,0.0,193.1370869565217,-0.165295217391304,3.9565217391304346,2.608695652173913,1.891304347826087
4u5s_A_rec,48,48,0.5392576811574825,0.1418719404736689,3.8693652094216042,0.8647698923870876,0.05375157170832826,0.5244694180264238,0.0,0.007853403141361256,0.0,0.0,221.08297916666666,-0.8831458333333325,4.416666666666667,2.875,2.3958333333333335
4xli_B_rec,47,47,0.650155965312681,0.1340382021420169,2.4018944407726157,0.8361145051320066,0.06668838525868252,0.559468633694037,0.0,0.0140625,0.0,0.0,334.85927659574475,3.391719148936171,4.340425531914893,1.7234042553191489,3.723404255319149
4yhj_A_rec,41,41,0.5659051701456879,0.14562641066638013,3.5761053439176647,0.8346250058323014,24.475618720711797,3.143288424918736,0.0,0.053783044667274384,0.0,0.0,359.60212195121954,1.7155743902439025,5.2682926829268295,3.5853658536585367,4.073170731707317
4z2g_A_rec,47,47,0.2717019871769469,0.1779746763131513,5.224936538485193,0.8678379357852384,10.819810961862364,2.139514141670818,0.0,0.022495982860203535,0.0,0.0,541.2345531914895,-1.268235319148931,11.02127659574468,6.914893617021277,7.659574468085107
4zfa_A_rec,45,45,0.5793984449853927,0.15962653813074257,2.9680200402979424,0.8901944489677103,0.1835048202400725,0.8982845854461344,0.0,0.00962962962962963,0.0,0.0,377.89231111111127,4.827326222222226,3.466666666666667,0.9111111111111111,5.0
5aeh_A_rec,46,46,0.7169024052362079,0.15662429115760318,3.0897320726198862,0.8721729140536457,0.11605509143501436,0.74018729474555,0.0,0.04995693367786391,0.0,0.0,339.1931304347827,3.2925560869565236,3.6739130434782608,1.565217391304348,3.717391304347826
5b08_A_rec,44,44,0.6526308412905819,0.13254607019136713,2.716303424001387,0.8678203081920784,3.3891272741590157,1.5113567276734117,0.0,0.05533596837944664,0.0,0.0,305.05772727272733,3.834803636363638,2.4545454545454546,1.0909090909090908,1.9545454545454546
5bur_A_rec,37,37,0.3159553383756019,0.09851789371673064,4.508535751450758,0.5831865816797095,0.0271852242613377,0.37575252294714107,0.0,0.09559512652296158,0.0,0.0,419.0325945945947,-1.4986867567567566,10.45945945945946,5.891891891891892,5.243243243243243
